Year;Country of production;Coffee bean;Department;Municipality of export;Exporter;Exporter group;Importer;Importer group;Country of destination;Economic bloc;Department trase id;Country of production (Trase ID);Country of destination (Trase ID);Trade volume;Trade value
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;ATLANTIC SPECIALTY COFFEE INC;ATLANTIC SPECIALTY COFFEE INC;UNITED STATES;UNITED STATES;CO-41;CO;US;76,993;333854,57
2012;COLOMBIA;GREEN;CALDAS;CARTAGENA DE INDIAS;INVERCAFE LTDA 810003164;INVERCAFE LTDA 810003164;A LAM AL QAHWA EST;A LAM AL QAHWA EST;SAUDI ARABIA;SAUDI ARABIA;CO-17;CO;SA;19,985;96498,15
2012;COLOMBIA;GREEN;NARINO;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;HACO ASIA PACIFIC SDN BHD;HACO ASIA PACIFIC SDN BHD;MALAYSIA;MALAYSIA;CO-52;CO;MY;9,120553726;44762,91113
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;UNKNOWN;UNKNOWN;SINGAPORE;SINGAPORE;CO-41;CO;SG;19,944;105964,19
2012;COLOMBIA;ROASTED;SANTANDER;CARTAGENA DE INDIAS;INDS ALIADAS S A S;INDS ALIADAS S A S;COLOMBIAN SOLUBLES INC;COLOMBIAN SOLUBLES INC;UNITED STATES;UNITED STATES;CO-68;CO;US;53,1;517831,2
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALEXCAFE S A S;ALEXCAFE S A S;SUCAFINA SA;SUCAFINA SA;GREECE;EUROPEAN UNION;CO-66;CO;GR;38,481;176710,24
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;COOP DE CAFICULTORES DE ANDES LTD;COOP DE CAFICULTORES DE ANDES LTD;UNKNOWN;UNKNOWN;SPAIN;EUROPEAN UNION;CO-05;CO;ES;136,033;560134,06
2012;COLOMBIA;GREEN;SANTANDER;SANTA MARTA;C I KYOTO S A S;C I KYOTO S A S;SOJITZ CORPORATION;SOJITZ;JAPAN;JAPAN;CO-68;CO;JP;227,278;1249721,28
2012;COLOMBIA;PROCESSED;TOLIMA;SANTAFE DE BOGOTA;CAFE MONTANA ROJA S A S;CAFE MONTANA ROJA S A S;FLORESA TRADING CORP;FLORESA TRADING CORP;RUSSIAN FEDERATION;RUSSIAN FEDERATION;CO-73;CO;RU;0,3775;4864
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;ARMAJARO AGRI-COMMODITIES DO BRASIL;ARMAJARO AGRI-COMMODITIES DO BRASIL;KRAFT FOODS EUROPE PROCUREMENTS GMBH SCHWEIZ SVENSK FILIAL;KRAFT FOODS EUROPE PROCUREMENTS GMBH SCHWEIZ SVENSK FILIAL;SWEDEN;EUROPEAN UNION;CO-66;CO;SE;210,031;891512,42
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;ARMENIA COFFEE CORP;ARMENIA COFFEE CORP;UNITED STATES;UNITED STATES;CO-41;CO;US;213,795;1067500,47
2012;COLOMBIA;GREEN;VALLE DEL CAUCA;BUENAVENTURA;CAFE GRANJA LA ESPERANZA S A C I;CAFE GRANJA LA ESPERANZA S A C I;ROYAL COFFEE NEW YORK;ROYAL COFFEE NEW YORK;UNITED STATES;UNITED STATES;CO-76;CO;US;17,495;81613,01
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;COOP NORGE KAFEE AS;COOP NORGE KAFEE AS;NORWAY;NORWAY;CO-05;CO;NO;35,96048982;158714,1877
2012;COLOMBIA;GREEN;SANTANDER;SANTA MARTA;C I KYOTO S A S;C I KYOTO S A S;DAABON ORGANIC AUSTRALIA PTY LTD;DAABON ORGANIC AUSTRALIA PTY LTD;AUSTRALIA;AUSTRALIA;CO-68;CO;AU;19,221;127583,18
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;NESTLE BRASIL LTDA;NESTLE;SOUTH KOREA;SOUTH KOREA;CO-41;CO;KR;8,046282518;40836,03608
2012;COLOMBIA;GREEN;NARINO;CARTAGENA DE INDIAS;SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D;SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D;UNKNOWN;UNKNOWN;AUSTRALIA;AUSTRALIA;CO-52;CO;AU;12,89720957;71651,36619
2012;COLOMBIA;GREEN;NARINO;CARTAGENA DE INDIAS;EMPRESAS DE NARINO S A S;EMPRESAS DE NARINO S A S;VOLCAFE FRANCE S A;VOLCAFE;FRANCE;EUROPEAN UNION;CO-52;CO;FR;21,334;112500,01
2012;COLOMBIA;GREEN;CALDAS;SANTA MARTA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;UNITED STATES;UNITED STATES;CO-17;CO;US;627,5493871;3479435,493
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;VILLEGAS Y CIA S C S;VILLEGAS Y CIA S C S;UNKNOWN;UNKNOWN;ISRAEL;ISRAEL;CO-66;CO;IL;57,776;218380,95
2012;COLOMBIA;GREEN;QUINDIO;CARTAGENA DE INDIAS;EXPORTADORA DE CAFE CONDOR S A S;EXPORTADORA DE CAFE CONDOR S A S;MOTHER PARKERS TEA Y COFFEE;MOTHER PARKERS TEA Y COFFEE;CANADA;CANADA;CO-63;CO;CA;157,458;863586,41
2012;COLOMBIA;GREEN;TOLIMA;CARTAGENA DE INDIAS;CARCAFE LTD;CARCAFE LTD;VOLCAFE LTD JAPAN;VOLCAFE;JAPAN;JAPAN;CO-73;CO;JP;17,481;67705,54
2012;COLOMBIA;GREEN;HUILA;CARTAGENA DE INDIAS;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;MERCON COFFEE CORP;MERCON COFFEE CORP;UNITED STATES;UNITED STATES;CO-41;CO;US;192,346;832399,05
2012;COLOMBIA;GREEN;VALLE DEL CAUCA;BUENAVENTURA;AGROP FARALLONES S A;AGROP FARALLONES S A;ARMENIA COFFEE CORP;ARMENIA COFFEE CORP;UNITED STATES;UNITED STATES;CO-76;CO;US;173,439;788866,8
